"Date";"Year";"Type";"Country";"Area";"Location";"Injury";"Species";"href formula"
"28-Mar-2016";2016;"Unprovoked";"AUSTRALIA";"New South Wales";"North Cronulla Beach";"No injury, board dented";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf"
"26-Mar-2016";2016;"Provoked";"BAHAMAS";"";"";"Minor injury to chest PROVOKED INCIDENT";"Nurse shark, 2.5-ft";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf"
"13-Mar-2016";2016;"Invalid";"USA";"California";"Bolsa Chica State Park, Orange County";"Board reportedly bumped by shark. No injury";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf"
"11-Mar-2016";2016;"Unprovoked";"USA";"Florida";"Vero Beach, St. Lucie County";"Lacerations to right foot and ankle";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf"
"10-Mar-2016";2016;"Unprovoked";"Fiji";"Vanua Levu";"";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf"
"04-Mar-2016";2016;"Unprovoked";"USA";"Florida";"Ocean Reef Park, Singer Island, Palm Beach County";"Superficial injury to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf"
"Reported 03-Mar-2016";2016;"Unprovoked";"AUSTRALIA";"South Australia";"Wrights Bay";"Puncture wounds to right calf";"Bronze whaler";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf"
"02-Mar-2016";2016;"Unprovoked";"BRAZIL";"Santa Catarina State";"Escalerio Beach Balneário Camboriú";"Minor injury to head";"Sandtiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf"
"22-Feb-2016";2016;"Unprovoked";"NEW CALEDONIA";"South Province";"Ricaudy Reef, Noumea";"Puncture wounds to right thigh";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf"
" 19-Feb-2016";2016;"Unprovoked";"NEW CALEDONIA";"South Province";"Yate";"Forearm bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf"
"12-Feb-2016";2016;"Unprovoked";"DOMINICAN REPUBLIC";"Altagracia Province";"Bavaro Beach, Punta Cana";"Avulsion injury to lower leg";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf"
"Reported 10-Feb-2016";2016;"Invalid";"CAYMAN ISLANDS";"Grand Cayman";"Stingray City Bar";"Minor injury to wrist from Southern stingray";"No shark involvement";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf"
"10-Feb-2016";2016;"Invalid";"AUSTRALIA";"Tasmania";"Nettley Bay";"No injury, knocked off board";"No shark involvement";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf"
"05-Feb-2016";2016;"Unprovoked";"AUSTRALIA";"Queensland";"Stradbroke Island";"Foot nipped";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf"
"04-Feb-2016";2016;"Unprovoked";"AUSTRALIA";"New South Wales";"Hams Beach";"No injury, shark bit board";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf"
"02-Feb-2016";2016;"Unprovoked";"BRAZIL";"Balneário Camboriú";"Estaleirinho beach";"Lacerations to scalp";"Sandtiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.02-Thomas.pdf"
"29-Jan-2016";2016;"Boating";"SOUTH AFRICA";"KwaZulu-Natal";"";"No injury, shark capsized kayak";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf"
"28-Jan-2016";2016;"Unprovoked";"USA";"Hawaii";"Hanalei Bay, Kauai";"Lacerations to both hands";"Reef shark, 5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf"
"25-Jan-2016";2016;"Unprovoked";"USA";"Hawaii";"Hanalei Bay, Kauai, ";"No injury";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf"
"24-Jan-2016";2016;"Unprovoked";"USA";"Texas";"Off Surfside";"Bruised ribs & tail bone, speargun broken and wetsuit cut";"Bull sharks x 2";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-Love.pdf"
"24-Jan-2016";2016;"Boating";"UNITED ARAB EMIRATES";"Fujairah Emirate";"35 miles off Fujairah";"No injury to occupants, shark leapt into boat";"Mako shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf"
"23-Jan-2016";2016;"Unprovoked";"USA";"Hawaii";"Wailea Beach, Maui";"No injury";"Tiger shark, 14'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf"
"Reported 11-Jan-2016";2016;"Unprovoked";"AUSTRALIA";"Queensland";"Happy Valley Beach, Caloundra";"Laceration to right foot";"Wobbegong shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf"
"05-Jan-2016";2016;"Unprovoked";"AUSTRALIA";"Queensland";"Heron Island";"Laceration to right calf";"Blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf"
"02-Jan-2016";2016;"Unprovoked";"AUSTRALIA";"Queensland";"Miall Island";"Lacerations to arms & leg";"3 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-Countryman.pdf"
"26-Dec-2015";2015;"Boating";"SOUTH AFRICA";"KwaZulu-Natal";"Westbrook Beach";"No injury, kayak damaged";"White shark, 3 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-Wardell.pdf"
"25-Dec-2015";2015;"Unprovoked";"SPAIN";"Grand Canary Island";"Arinaga Beach, Aguimes, Gran Canaria";"Lacerations to left forearm";"Silky shark, 6.5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-GrandCanary.pdf"
"22-Dec-2015";2015;"Unprovoked";"USA";"Hawaii";"La'aloa Beach Park";"No injury, shark bit board";"9' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf"
"21-Dec-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Bondi Beach";"No injury, shark leapt on surfboard";"Bronze whaler shark, 6'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-Norburn.pdf"
"21-Dec-2015";2015;"Unprovoked";"BRAZIL";"Pernambuco";"Fernano de Noronha";"Right hand & part of forearm removed";"Tiger shark, 1.5 m ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.a-Brazil.pdf"
"19-Dec-2015";2015;"Unprovoked";"ARUBA";"";"Boat capsized";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-Aruba.pdf"
"13-Dec-2015";2015;"Boating";"AUSTRALIA";"New South Wales";"Lake Macquarie";"No injury, shark rammed boat & bit motor";"White shark, 3.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-Crust-Boat.pdf"
"11-Dec-2015";2015;"Unprovoked";"BAHAMAS";"";"Off Andros Island";"Bitten on thigh, abdomen & hand";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-Pinder.pdf"
"08-Dec-2015";2015;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Mpande";"Lacerations to both hands and forearms";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-Scott.pdf"
"20-Nov-2015";2015;"Unprovoked";"ECUADOR";"Galapagos Islands";"Punta Vicente Roca, Isabella Island";"Lacerations to left calf";"Galapagos shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf"
"16-Nov-2015";2015;"Unprovoked";"USA";"Florida";"Playalinda Beach, Brevard County";"Right heel injured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf"
"15-Nov-2015";2015;"Unprovoked";"USA";"Florida";"Palm Beach, Palm Beach County";"Leg injured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-SRB.pdf"
"15-Nov-2015";2015;"Unprovoked";"USA";"Florida";"Ocean Reef Park, Singer Island, Palm Beach County";"Lacerations to hand";"Spinner shark, 7'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.a-Engelman.pdf"
"10-Nov-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"East Ballina";"Injury to left thigh";"Bull shark, 2.8 to 3.1 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-Morgan.pdf"
"07-Nov-2015";2015;"Invalid";"USA";"Florida";"Paradise Beach, Melbourne, Brevard County";"Lower left leg injured";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.07-Underwood.pdf"
"03-Nov-2015";2015;"Unprovoked";"USA";"Hawaii";"Kehena Beach, Hawaii";"Laceration to right ankle";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf"
"01-Nov-2015";2015;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard  County";"Injury to right ankle/calf & hand";"3' to 5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf"
"01-Nov-2015";2015;"Unprovoked";"MOZAMBIQUE";"Inhambane Province";"Maxixe";"Arms severely injured, surgically amputated";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-Ernesto.pdf"
"30-Oct-2015";2015;"Unprovoked";"AUSTRALIA";"Western Australia";"Bald Island";"Minor injury";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-Galli.pdf"
"28-Oct-2015";2015;"Unprovoked";"USA";"Hawaii";"Malaka, Oahu";"Lacerations & puncture wounds to right thigh, calf & ankle";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.28-Senensi.pdf"
"25-Oct-2015";2015;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Stil Bay";"Lacerations to right calf, knee & hip";"White shark, 3 to 3.5m ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-Anderson.pdf"
"21-Oct-2015";2015;"Unprovoked";"USA";"Florida";"Playalinda Beach, Brevard County";"Lacerations to left hand";"5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf"
"19-Oct-2015";2015;"Unprovoked";"USA";"Florida";"Deerfield Beach, Broward County";"Left foot bitten";"Spinner shark, 5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf"
"17-Oct-2015";2015;"Unprovoked";"MOZAMBIQUE";"Inhambane Province";"Nahaduga, Inhambane Bay";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf"
"17-Oct-2015";2015;"Invalid";"USA";"Hawaii";"Waikiki, ";"Left foot bitten by eel";"No shark involvement";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf"
"17-Oct-2015";2015;"Unprovoked";"USA";"Hawaii";"Lanikai Beach, Kailua, Oahu";"Severe injuries to lower legs. Foot later surgically amputated.";"Tiger shark, 7'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf"
"13-Oct-2015";2015;"Boating";"USA";"California";"Off Leffingwell Landing, San Luis Obispo County";"No injury, shark rammed kayak repeatedly";"Hammerhead sp.";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf"
"09-Oct-2015";2015;"Unprovoked";"USA";"South Carolina";"Shipyard Beach Club, Hilton Head Island, Beaufort County";"Laceration to forearm";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf"
"09-Oct-2015";2015;"Unprovoked";"USA";"Hawaii";"Leftovers, Oahu";"Left leg severed below the knee, defense injuries to left hand";"Tiger shark, 13' ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf"
"08-Oct-2015";2015;"Unprovoked";"MOZAMBIQUE";"Inhambane Province";"Maxixe, Inhambane Bay";"Arm severely injured, surgically amputated";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf"
"07-Oct-2015";2015;"Unprovoked";"AUSTRALIA";"Western Australia";"Pyramids Beach";"Foot injured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf"
"05-Oct-2015";2015;"Unprovoked";"USA";"Florida";"Pepper Park Beach, St. Lucie County";"2 lacerations to ankle";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf"
"05-Oct-2015";2015;"Unprovoked";"USA";"Texas";"Galveston";"Foot & hands bitten";"4' to 5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.a-Slaughter.pdf"
"04-Oct-2015";2015;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Severe lacerations to left hand";"Blacktip shark, 4' to 5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf"
"29-Sep-2015";2015;"Unprovoked";"USA";"Florida";"Vilano Beach, St.  Johns County";"Laceration to heel, puncture wounds to dorsum of foot";"Blacktip shark, 5' to 6'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf"
"26-Sep-2015";2015;"Unprovoked";"AUSTRALIA";"Queensland";"Russel Island, Frankland Group";"Laceration to leg";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf"
"24-Sep-2015";2015;"Boating";"USA";"California";"Horseshoe Rock, Santa Barbara County";"No injury, kayak damaged";"White shark, 19'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf"
"20-Sep-2015";2015;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Minor injury to left ankle";"juvenile shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf"
"20-Sep-2015";2015;"Unprovoked";"USA";"Hawaii";"Upolu Point, North Kohala, Big Island";"Severe laceration to left leg";"Tiger shark, 13'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf"
"20-Sep-2015";2015;"Unprovoked";"USA";"Florida";"Fernandina Beach, Amelia Island, Nassau County";"Significant injuries to leg";"4' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf"
"20-Sep-2015";2015;"Unprovoked";"USA";"Florida";"Vilano Beach, St.  Johns County";"Injury to right hand / wrist";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf"
"19-Sep-2015";2015;"Boating";"USA";"California";"Gaviota State Beach, Santa Barbara County";"No injury";"Hammerhead shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.19-McCracken.pdf"
"18-Sep-2015";2015;"Unprovoked";"USA";"Florida";"Big Talbot Island, Duval County";"Lacerations to calf";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf"
"17-Sep-2015";2015;"Unprovoked";"USA";"Florida";"Jacksonville Beach, Duval County";"Injury to right foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf"
"08-Sep-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"North Shelly Beach";"Minor laceration to hand";"6' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-Daniels.pdf"
"06-Sep-2015";2015;"Unprovoked";"USA";"California";"El Pescador Beach, Los Angeles County";"No injury, shark struck board, tossing her into the sea";"White shark, 11' to 12'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf"
"05-Sep-2015";2015;"Provoked";"USA";"California";"Deer Creek Beach, Ventura County";"Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT";"Hammerhead shark.";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf"
"04-Sep-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Hallidays Point";"Inuries to lower left leg & ankle";"White shark, 2.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-Quinliven.pdf"
"03-Sep-2015";2015;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Right foot bitten";"4' shark?";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf"
"01-Sep-2015";2015;"Unprovoked";"THAILAND";"Phuket";"Karon Beach";"Left foot & ankle bitten";"small shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-Neame.pdf"
"Sep-2015";2015;"Unprovoked";"FIJI";"";"";"Leg bitten";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-Lautiki.pdf"
"29-Aug-2015";2015;"Unprovoked";"USA";"California";"Morro Strand State Beach, San Luis Obispo County";"No injury, surfboard bitten";"White shark, 11' to 12'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf"
"29-Aug-2015";2015;"Unprovoked";"USA";"California";"Morro Bay, San Luis Obispo County";"No injury, shark struk sufer's leg and his board";"White shark, 10' to 12' ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf"
"22-Aug-2015";2015;"Invalid";"USA";"Florida";"Cocoa Beach, Brevard  County";"Wound to right lower leg";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf"
"22-Aug-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Lighthouse Beach";"Severe laceration to left buttock & thigh";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-Carr.pdf"
"20-Aug-2015";2015;"Unprovoked";"USA";"South Carolina";"Murrells Inlet, Georgetown County";"Injuries to left calf, arm and hand";"4' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf"
"19-Aug-2015";2015;"Unprovoked";"USA";"Florida";"Jacksonville Beach, Duval County";"Lacerations to right leg";"3' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack"
"18-Aug-2015";2015;"Boating";"USA";"California";"Santa Barbara County";"No injury, kayak bitten";"White shark, 13'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf"
"18-Aug-2015";2015;"Invalid";"SPAIN";"Alicante";"Poniente Beach, Benidorm";"Minor injury when he attempted to touch a fish. ";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-Benidorm.pdf"
"10-Aug-2015";2015;"Provoked";"USA";"California";"Cortes Bank";"Right hand bitten  PROVOKED INCIDENT";"Hammerhead shark. 6' to 7'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf"
"31-Jul-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Evans Head";"Lacerations and puncture wounds to hip, thigh, arm and hand";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-Ison.pdf"
"28-Jul-2015";2015;"Unprovoked";"COSTA RICA";"Guanacaste";"Playa Grande";"Minor inuries to toes";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.28-McCall.pdf"
"27-Jul-2015";2015;"";"AUSTRALIA";"Victoria";"Tyrendarra Beach";"Injury to hand";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.27-Victoria.pdf"
"26-Jul-2015";2015;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Minor injury to sole of foot";"Blacktip or spinner shark, 4'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf"
"26-Jul-2015";2015;"Invalid";"USA";"South Carolina";"Edisto Beach, Colleton County";"2' cut to dorsum of foot, 2 puncture wounds to sole";"Thought to involve a 3' to 4' shark, but shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf"
"25-Jul-2015";2015;"Unprovoked";"AUSTRALIA";"Tasmania";"Lachan Island, Mercury Passage";"FATAL";"White shark, 3.9 to 4.2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.25-Johnson.pdf"
"23-Jul-2015";2015;"Provoked";"USA";"California";"La Jolla, San Diego County";"No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT";"Mako shark, 100-lb";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf"
"23-Jul-2015";2015;"Unprovoked";"AUSTRALIA";"Victoria";"Tyrendarra Beach near Portland";"Left hand bitten";"Bronze whaler shark, 1.5m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.a-Victoria.pdf"
"22-Jul-2015";2015;"Unprovoked";"REUNION";"";"St. Leu";"Arm bitten";"Bull shark, 2m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.22-Arrieguy.pdf"
"19-Jul-2015";2015;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Jeffrey's Bay";"No injury";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.19-Fanning.pdf"
"10-Jul-2015";2015;"Unprovoked";"USA";"California";"Huntington Beach, Orange County";"No injury, shark bumped & damaged board";"White shark, 7'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.10-Miskin.pdf"
"08-Jul-2015";2015;"Invalid";"USA";"California";"Huntington Beach, Orange County";"Laceration to back";"Shark involvement not cofirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf"
"06-Jul-2015";2015;"Invalid";"FRENCH POLYNESIA";"Bora Bora";"";"Parallel lacerations to torso inconsistent with shark bite";"No shark involvement";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.06-Termini.pdf"
"04-Jul-2015";2015;"Unprovoked";"BAHAMAS";"Grand Bahama Island";"Port Lucaya, Freeport";"Lacerations to lower leg & ankle";"6' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.b-Hester.pdf"
"04-Jul-2015";2015;"Unprovoked";"USA";"North Carolina";"Off Surf City, Pender County";"Lacerations to right hand & forearm";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf"
"03-Jul-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Lennox Head";"No injury, shark bit surfboard";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.03-Hoile.pdf"
"02-Jul-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"East Ballina";"Significant injuries to lower legs";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.02-Matt-Lee.pdf"
"01-Jul-2015";2015;"Unprovoked";"USA";"North Carolina";"Ocracoke, Lifeguard Beach, National Park Service, Hyde County";"Injuries to torso, hip, lower leg & hands";"6' to 7' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf"
"30-Jun-2015";2015;"Unprovoked";"AUSTRALIA";"New South Wales";"Flat Rock, Yamba";"Hand bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.b-Steve.pf"
"30-Jun-2015";2015;"Unprovoked";"USA";"South Carolina";"Isle of Palms County Park, Isle of Palms, Charleston County";"Shallow lacerations & puncture to lateral left leg";"4' to 5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.30.a.pdf-Weakley.pdf"
"27-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Rodanthe, Dare County";"Injuries to right calf, buttock and both hands";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.27.b-Rodanthe.pdf"
"27-Jun-2015";2015;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Buffels Bay near Knysna";"Right leg severed, multiple lacerations to left leg";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.27.a-Swanepoel.pdf"
"26-Jun-2015";2015;"Invalid";"USA";"Florida";"Jacksonville Beach, Duval County";"Minor lacerations to leg";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.c-Jacksonville.pdf"
"26-Jun-2015";2015;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Lookout Beach, Plettenberg Bay";"Multiple lacerations to torso & leg";"White shark, 2m to 3 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.b-Reddering.pdf"
"26-Jun-2015";2015;"Unprovoked";"USA";"South Carolina";"South Beach, Hunting Island State Park, Beaufort County";"Puncture wounds to foot";"4' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.26.a-Donahue.pdf"
"Reported 25-Jun-2015";2015;"Provoked";"AUSTRALIA";"Western Australia";"Rottnest Island";"Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT";"Wobbegong shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25.R-Stephen.pdf"
"25-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Avon, Hatteras Island, Outer Banks, Dare County";"Multiple lacerations to back";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.25-Avon.pdf"
"24-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Surf City";"Minor injury to foot";"Sandtiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.b-Noyes.pdf"
"24-Jun-2015";2015;"Invalid";"AUSTRALIA";"Western Australia";"Denmark";"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.24.a-Kumpe.pdf"
"23-Jun-2015";2015;"Unprovoked";"USA";"South Carolina";"St. Helena Island, Beaufort County";"Minor injury to calf ";"small shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.23-Davenport.pdf"
"19-Jun-2015";2015;"Unprovoked";"PUERTO RICO";"";"Off Cabo Rojo";"Injury to hand";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.19-Rios.pdf"
"17-Jun-2015";2015;"Unprovoked";"USA";"Florida";"Daytona Beach Shores";"Minor injury to calf ";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.17-Simpson.pdf"
"14-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Oak Island, Brunswick County";"Arm amputated below shoulder";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.b-Treschel.pdf"
"14-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Oak Island, Brunswick County";"Left arm amputated at elbow & severe injury to leg";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.14.a-Yow.pdf"
"13-Jun-2015";2015;"Unprovoked";"USA";"California";"Off San Diego";"Severe laceration to leg";"Mako shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.13-Specker"
"11-Jun-2015";2015;"Unprovoked";"USA";"North Carolina";"Ocean Isle, Brunswick County";"Minor lacerations to foot";"4' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2015.06.11-OceanIsle.pdf"
